teamId,passes_total,passes_accurate,long_balls,final_third_entries,box_entries,wide_actions,defensive_duels,high_press_actions,set_pieces,shots_total,goals,matches_played,avg_pass_distance_m,avg_forward_progress,league_code,pass_accuracy_pct,long_ball_pct,wide_action_pct,high_press_pct,passes_total_per_match,passes_accurate_per_match,long_balls_per_match,final_third_entries_per_match,box_entries_per_match,wide_actions_per_match,defensive_duels_per_match,high_press_actions_per_match,set_pieces_per_match,shots_total_per_match,goals_per_match
2446,16271,13762,2490,2089,1036,11542,1980,647,1653,452,55,34,18.549118040583693,2.7417711504240208,Germany,84.57992747833569,15.303300350316515,70.93602114190892,32.676767676767675,478.55882352941177,404.7647058823529,73.23529411764706,61.44117647058823,30.470588235294116,339.47058823529414,58.23529411764706,19.029411764705884,48.61764705882353,13.294117647058824,1.6176470588235294
2447,18225,15545,2670,2521,1210,12332,2080,717,1632,438,59,34,18.798321404347487,2.95596763982037,Germany,85.29492455418381,14.650205761316872,67.66529492455419,34.47115384615385,536.0294117647059,457.20588235294116,78.52941176470588,74.1470588235294,35.588235294117645,362.70588235294116,61.1764705882353,21.08823529411765,48.0,12.882352941176471,1.7352941176470589
2449,13612,11251,2262,1746,743,9261,2421,782,1613,353,37,34,18.819777909849822,3.3642089668070487,Germany,82.65501028504261,16.617690273288275,68.03555686159271,32.300702189178025,400.3529411764706,330.9117647058824,66.52941176470588,51.35294117647059,21.852941176470587,272.38235294117646,71.20588235294117,23.0,47.44117647058823,10.382352941176471,1.088235294117647
2450,12535,9769,2593,1979,826,8684,2191,720,1840,335,23,34,19.551769674662523,3.585700826910846,Germany,77.93378540087754,20.686078978859193,69.27802153968887,32.86170698311273,368.6764705882353,287.3235294117647,76.26470588235294,58.205882352941174,24.294117647058822,255.41176470588235,64.44117647058823,21.176470588235293,54.11764705882353,9.852941176470589,0.6764705882352942
2451,14372,11916,2775,2010,715,9834,2050,554,1575,315,30,34,19.624032049971806,3.2633042310960674,Germany,82.91121625382688,19.308377400500973,68.42471472307264,27.02439024390244,422.70588235294116,350.47058823529414,81.61764705882354,59.11764705882353,21.029411764705884,289.2352941176471,60.294117647058826,16.294117647058822,46.3235294117647,9.264705882352942,0.8823529411764706
2453,12605,10236,2460,1751,647,8299,2155,642,1652,339,26,34,19.77881799767074,3.4390827013203022,Germany,81.20587068623563,19.51606505355018,65.83895279650932,29.791183294663576,370.7352941176471,301.05882352941177,72.3529411764706,51.5,19.029411764705884,244.08823529411765,63.38235294117647,18.88235294117647,48.588235294117645,9.970588235294118,0.7647058823529411
2454,15996,13540,2555,2002,864,10583,2080,634,1616,405,39,34,19.05385755482234,2.667906842276121,Germany,84.6461615403851,15.972743185796448,66.16029007251812,30.480769230769234,470.47058823529414,398.2352941176471,75.1470588235294,58.88235294117647,25.41176470588235,311.2647058823529,61.1764705882353,18.647058823529413,47.529411764705884,11.911764705882353,1.1470588235294117
2455,12533,9876,2392,1817,737,8547,2374,685,1787,391,39,34,19.66500792386173,3.6956052194968243,Germany,78.79996808425756,19.08561397909519,68.19596265858135,28.85425442291491,368.61764705882354,290.47058823529414,70.3529411764706,53.44117647058823,21.676470588235293,251.38235294117646,69.82352941176471,20.147058823529413,52.55882352941177,11.5,1.1470588235294117
2457,13520,11049,2621,1819,638,9372,2249,702,1571,290,39,34,19.190866295394045,3.3850171383679406,Germany,81.72337278106508,19.38609467455621,69.31952662721893,31.213872832369944,397.6470588235294,324.97058823529414,77.08823529411765,53.5,18.764705882352942,275.6470588235294,66.1470588235294,20.647058823529413,46.205882352941174,8.529411764705882,1.1470588235294117
2460,11831,9343,2426,1855,737,7787,2324,750,1635,384,34,34,19.389566173063137,3.495726030273196,Germany,78.97050122559378,20.505451779224074,65.81861212069985,32.27194492254733,347.97058823529414,274.79411764705884,71.3529411764706,54.55882352941177,21.676470588235293,229.02941176470588,68.3529411764706,22.058823529411764,48.088235294117645,11.294117647058824,1.0
2462,13312,10668,2828,2080,867,8864,2179,752,1663,347,42,34,20.132343953271246,3.7928642549454974,Germany,80.13822115384616,21.243990384615387,66.58653846153845,34.51124368976595,391.52941176470586,313.7647058823529,83.17647058823529,61.1764705882353,25.5,260.70588235294116,64.08823529411765,22.11764705882353,48.911764705882355,10.205882352941176,1.2352941176470589
2463,13463,10917,2597,2061,860,8951,2302,645,1613,347,27,34,19.645077428674796,3.562228297075412,Germany,81.08891034687663,19.289905667384684,66.48592438535245,28.01911381407472,395.97058823529414,321.0882352941176,76.38235294117646,60.61764705882353,25.294117647058822,263.2647058823529,67.70588235294117,18.970588235294116,47.44117647058823,10.205882352941176,0.7941176470588235
